"","id","instrument","code","name","general","nuances","column","row"
"1",3,"Piano","Moz1","Symphonie n°41 (MOZART) - Configuration 1",4,3,"M",3
"2",4,"Piano","Moz2","Symphonie n°41 (MOZART) - Configuration 2",3,3,"M",3
"3",5,"Piano","Moz3","Symphonie n°41 (MOZART) - Configuration 3",4,3,"M",3
"4",6,"Piano","Moz4","Symphonie n°41 (MOZART) - Configuration 4",3,3,"M",3
"5",7,"Piano","Bee1","Symphonie N°7 (BEETHOVEN) - Configuration 1",3,3,"M",3
"6",8,"Piano","Bee2","Symphonie N°7 (BEETHOVEN) - Configuration 2",4,3,"M",3
