id,instrument,code,name,position,row,column,general,space,visibility,light
596,Cor,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,K11,11,K,3,3,3,3
597,Cor,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,L9,9,L,4,3,3,3
598,Cor,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,O16,16,O,4,3,3,3
603,Cor,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,J14,14,J,2,2,4,4
604,Cor,Bee2,Symphonie N°7 (BEETHOVEN) - Configuration 2,N13,13,N,2,3,3,3
605,Cor,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,I15,15,I,4,5,4,4
606,Cor,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,H15,15,H,5,5,5,5
607,Cor,Sch1,Symphonie n°3 (SCHUMANN) - Configuration 1,N14,14,N,1,2,3,3
608,Cor,Sch2,Symphonie n°3 (SCHUMANN) - Configuration 2,I9,9,I,3,3,3,3
609,Cor,Sch3,Symphonie n°3 (SCHUMANN) - Configuration 3,J12,12,J,2,2,3,3
