id,instrument,code,name,position,row,column,general,space,visibility,light
198,Percussion,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,L5,5,L,2,3,3,3
199,Percussion,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,R11,11,R,3,2,3,3
200,Percussion,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,N9,9,N,2,3,3,3
201,Percussion,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,L5,5,L,2,2,3,3
202,Percussion,Rav1,La Valse (RAVEL) - Configuration 1,P7,7,P,2,3,3,3
203,Percussion,Rav2,La Valse (RAVEL) - Configuration 2,L5,5,L,3,3,3,3
204,Percussion,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,M5,5,M,3,3,3,3
205,Percussion,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,M5,5,M,2,2,3,3
206,Percussion,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,M5,5,M,3,3,3,3
220,Tuba,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,Q11,11,Q,3,5,5,5
221,Tuba,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,Q13,13,Q,2,5,5,5
222,Tuba,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,Q16,16,Q,3,5,5,5
223,Tuba,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,Q14,14,Q,2,5,5,5
224,Tuba,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,Q17,17,Q,1,5,5,5
225,Tuba,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,J9,9,J,3,3,4,5
226,Tuba,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,K9,9,K,5,5,5,5
227,Tuba,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,K8,8,K,3,5,5,5
228,Tuba,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,Q13,13,Q,1,5,5,5
229,Tuba,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,O10,10,O,5,5,5,5
230,Tuba,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,S13,13,S,3,5,5,5
231,Tuba,Rav1,La Valse (RAVEL) - Configuration 1,Q13,13,Q,4,5,5,5
232,Tuba,Rav2,La Valse (RAVEL) - Configuration 2,O10,10,O,2,5,5,5
233,Tuba,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,P12,12,P,2,5,5,5
234,Tuba,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,R11,11,R,3,5,5,5
235,Tuba,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,H12,12,H,3,5,5,5
248,Trombone,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,P11,11,P,4,5,5,5
249,Trombone,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,Q12,12,Q,3,3,3,3
250,Trombone,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,P15,15,P,3,5,5,5
251,Trombone,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,Q13,13,Q,1,5,3,5
252,Trombone,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,Q16,16,Q,1,5,3,5
253,Trombone,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,M9,9,M,4,5,5,3
254,Trombone,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,O9,9,O,5,5,5,5
255,Trombone,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,N9,9,N,4,5,5,5
256,Trombone,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,Q12,12,Q,2,5,4,5
257,Trombone,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,Q13,13,Q,4,5,5,5
258,Trombone,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,R12,12,R,3,5,3,5
261,Trombone,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,R17,17,R,1,5,3,5
262,Trombone,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,S16,16,S,2,5,4,5
263,Trombone,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,F17,17,F,3,5,4,5
276,Trombone,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,O10,10,O,3,4,4,4
277,Trombone,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,P11,11,P,3,4,4,4
278,Trombone,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,P13,13,P,3,4,4,4
279,Trombone,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,Q12,12,Q,3,4,4,4
280,Trombone,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,Q14,14,Q,3,4,4,4
281,Trombone,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,L9,9,L,4,4,4,4
282,Trombone,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,N9,9,N,5,4,4,4
283,Trombone,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,M9,9,M,3,4,4,4
287,Trombone,Rav1,La Valse (RAVEL) - Configuration 1,P11,11,P,3,4,4,4
288,Trombone,Rav2,La Valse (RAVEL) - Configuration 2,N9,9,N,3,4,4,4
289,Trombone,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,R16,16,R,3,4,4,4
290,Trombone,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,S16,16,S,3,4,4,4
291,Trombone,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,G15,15,G,4,4,4,4
319,Trombone,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,P13,13,P,3,4,4,4
320,Trombone,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,L8,8,L,5,3,3,4
321,Trombone,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,M9,9,M,5,3,3,3
322,Trombone,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,L8,8,L,3,3,4,4
323,Trombone,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,O10,10,O,3,4,4,4
324,Trombone,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,P11,11,P,3,4,4,4
325,Trombone,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,R10,10,R,2,2,3,3
326,Trombone,Rav1,La Valse (RAVEL) - Configuration 1,P11,11,P,3,3,4,4
327,Trombone,Rav2,La Valse (RAVEL) - Configuration 2,M9,9,M,4,4,4,4
345,Trombone,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,O10,10,O,3,3,5,5
346,Trombone,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,P11,11,P,2,5,5,5
347,Trombone,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,P13,13,P,4,5,5,5
348,Trombone,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,P11,11,P,3,5,5,5
353,Trombone,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,P11,11,P,1,2,3,3
354,Trombone,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,P11,11,P,2,3,3,3
355,Trombone,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,R11,11,R,2,1,3,3
356,Trombone,Rav1,La Valse (RAVEL) - Configuration 1,P11,11,P,3,3,3,3
357,Trombone,Rav2,La Valse (RAVEL) - Configuration 2,M9,9,M,2,3,3,3
358,Trombone,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,Q13,13,Q,1,3,2,3
359,Trombone,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,Q15,15,Q,2,3,3,3
360,Trombone,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,F17,17,F,3,3,3,3
361,Trompette,Moz1,Symphonie n°41 (MOZART) - Configuration 1,M11,11,M,2,3,3,3
362,Trompette,Moz2,Symphonie n°41 (MOZART) - Configuration 2,N11,11,N,2,3,3,3
363,Trompette,Moz3,Symphonie n°41 (MOZART) - Configuration 3,M13,13,M,3,3,3,3
364,Trompette,Moz4,Symphonie n°41 (MOZART) - Configuration 4,M11,11,M,1,3,3,3
369,Trompette,Sch1,Symphonie n°3 (SCHUMANN) - Configuration 1,N11,11,N,1,2,2,3
370,Trompette,Sch2,Symphonie n°3 (SCHUMANN) - Configuration 2,N9,9,N,2,3,3,3
371,Trompette,Sch3,Symphonie n°3 (SCHUMANN) - Configuration 3,O14,14,O,3,3,3,3
372,Trompette,Sch4,Symphonie n°3 (SCHUMANN) - Configuration 4,O14,14,O,3,3,3,3
377,Trompette,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,O12,12,O,3,3,3,3
378,Trompette,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,P10,10,P,4,3,3,3
379,Trompette,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,Q12,12,Q,4,3,3,3
380,Trompette,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,P11,11,P,2,3,3,3
381,Trompette,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,N9,9,N,3,3,3,3
382,Trompette,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,O12,12,O,2,2,3,3
383,Trompette,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,Q12,12,Q,3,3,3,3
384,Trompette,Rav1,La Valse (RAVEL) - Configuration 1,P12,12,P,2,3,3,3
385,Trompette,Rav2,La Valse (RAVEL) - Configuration 2,J9,9,J,3,3,3,3
386,Trompette,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,Q16,16,Q,1,3,3,3
387,Trompette,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,R17,17,R,2,3,3,3
388,Trompette,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,F17,17,F,3,3,3,3
395,Trompette,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,I11,11,I,2,3,3,3
396,Trompette,Bee2,Symphonie N°7 (BEETHOVEN) - Configuration 2,N10,10,N,3,3,3,3
397,Trompette,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,O12,12,O,2,1,3,3
398,Trompette,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,N12,12,N,2,3,3,3
405,Trompette,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,M9,9,M,3,4,3,3
406,Trompette,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,M9,9,M,2,2,3,3
407,Trompette,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,N11,11,N,2,3,3,3
408,Trompette,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,O13,13,O,3,3,3,3
409,Trompette,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,P13,13,P,3,3,3,3
410,Trompette,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,O10,10,O,3,3,3,3
411,Trompette,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,P11,11,P,3,3,3,3
412,Trompette,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,P12,12,P,3,3,3,3
413,Trompette,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,N9,9,N,3,3,3,3
414,Trompette,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,P13,13,P,2,1,3,3
415,Trompette,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,P11,11,P,2,4,3,3
419,Trompette,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,P13,13,P,2,1,3,3
420,Trompette,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,Q15,15,Q,4,4,3,3
421,Trompette,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,F16,16,F,5,2,3,3
435,Trompette,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,P13,13,P,3,3,3,3
436,Trompette,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,O10,10,O,4,3,3,3
437,Trompette,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,P11,11,P,4,3,3,3
438,Trompette,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,P11,11,P,3,3,3,3
439,Trompette,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,N10,10,N,2,3,3,3
440,Trompette,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,O13,13,O,2,3,3,3
441,Trompette,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,Q12,12,Q,3,3,3,3
442,Trompette,Rav1,La Valse (RAVEL) - Configuration 1,P13,13,P,3,3,3,3
443,Trompette,Rav2,La Valse (RAVEL) - Configuration 2,L8,8,L,3,3,3,3
444,Trompette,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,P14,14,P,3,1,3,3
445,Trompette,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,R16,16,R,3,3,3,3
446,Trompette,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,I13,13,I,3,3,3,3
447,Cor,Moz1,Symphonie n°41 (MOZART) - Configuration 1,J13,13,J,3,5,3,3
448,Cor,Moz2,Symphonie n°41 (MOZART) - Configuration 2,J13,13,J,3,3,3,3
449,Cor,Moz3,Symphonie n°41 (MOZART) - Configuration 3,K14,14,K,3,3,3,3
450,Cor,Moz4,Symphonie n°41 (MOZART) - Configuration 4,J15,15,J,4,3,3,3
463,Cor,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,J11,11,J,3,3,3,3
464,Cor,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,J10,10,J,1,3,3,3
465,Cor,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,J9,9,J,3,3,2,3
466,Cor,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,J14,14,J,4,3,3,3
467,Cor,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,J13,13,J,3,3,3,3
468,Cor,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,J13,13,J,3,3,3,3
469,Cor,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,J14,14,J,3,3,3,3
470,Cor,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,K11,11,K,3,3,3,3
471,Cor,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,J13,13,J,3,3,3,3
472,Cor,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,I9,9,I,3,3,3,3
473,Cor,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,H12,12,H,3,3,3,3
477,Cor,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,M9,9,M,1,NA,NA,NA
478,Cor,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,P11,11,P,3,3,3,3
487,Cor,Sch1,Symphonie n°3 (SCHUMANN) - Configuration 1,J11,11,J,2,2,3,3
488,Cor,Sch2,Symphonie n°3 (SCHUMANN) - Configuration 2,J9,9,J,1,3,3,3
489,Cor,Sch3,Symphonie n°3 (SCHUMANN) - Configuration 3,I15,15,I,3,3,3,3
490,Cor,Sch4,Symphonie n°3 (SCHUMANN) - Configuration 4,I15,15,I,5,3,3,3
491,Cor,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,J13,13,J,5,3,3,3
492,Cor,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,L9,9,L,1,3,3,3
493,Cor,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,L11,11,L,1,3,3,3
494,Cor,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,I12,12,I,5,3,3,3
499,Cor,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,J9,9,J,4,3,3,3
500,Cor,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,J9,9,J,3,3,3,3
501,Cor,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,H11,11,H,2,3,3,3
502,Cor,Rav1,La Valse (RAVEL) - Configuration 1,H12,12,H,2,3,3,3
503,Cor,Rav2,La Valse (RAVEL) - Configuration 2,G13,13,G,1,3,3,3
504,Cor,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,G13,13,G,3,3,3,3
505,Cor,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,O9,9,O,3,3,3,3
506,Cor,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,P11,11,P,3,3,3,3
507,Cor,Moz1,Symphonie n°41 (MOZART) - Configuration 1,K13,13,K,3,4,5,4
508,Cor,Moz2,Symphonie n°41 (MOZART) - Configuration 2,K15,15,K,3,5,5,5
509,Cor,Moz3,Symphonie n°41 (MOZART) - Configuration 3,K13,13,K,4,5,5,5
510,Cor,Moz4,Symphonie n°41 (MOZART) - Configuration 4,K14,14,K,5,5,5,5
527,Cor,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,J13,13,J,4,2,5,5
528,Cor,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,K9,9,K,1,4,2,5
529,Cor,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,M11,11,M,2,4,3,3
530,Cor,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,K14,14,K,5,4,5,5
531,Cor,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,J13,13,J,4,4,5,5
532,Cor,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,J12,12,J,5,5,5,5
533,Cor,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,J13,13,J,4,5,5,5
534,Cor,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,L11,11,L,4,5,5,5
535,Cor,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,H14,14,H,4,4,5,5
536,Cor,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,J9,9,J,4,3,3,5
537,Cor,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,G13,13,G,3,4,4,5
540,Cor,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,I12,12,I,3,4,5,5
541,Cor,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,M9,9,M,2,4,4,4
542,Cor,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,Q15,15,Q,3,4,5,5
551,Cor,Sch1,Symphonie n°3 (SCHUMANN) - Configuration 1,J11,11,J,1,1,2,3
552,Cor,Sch2,Symphonie n°3 (SCHUMANN) - Configuration 2,K9,9,K,3,2,2,3
553,Cor,Sch3,Symphonie n°3 (SCHUMANN) - Configuration 3,J14,14,J,3,2,2,3
554,Cor,Sch4,Symphonie n°3 (SCHUMANN) - Configuration 4,I15,15,I,4,5,3,3
555,Cor,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,J11,11,J,2,1,3,3
556,Cor,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,K9,9,K,2,1,3,3
557,Cor,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,L11,11,L,3,4,2,3
558,Cor,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,I13,13,I,3,5,3,3
559,Cor,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,I12,12,I,3,3,3,2
560,Cor,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,J9,9,J,3,3,3,3
561,Cor,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,J12,12,J,3,4,3,3
562,Cor,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,K11,11,K,3,3,3,3
563,Cor,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,I11,11,I,3,3,3,3
564,Cor,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,M6,6,M,2,1,2,3
565,Cor,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,L8,8,L,3,2,2,3
568,Cor,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,G13,13,G,3,3,3,3
569,Cor,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,O7,7,O,2,1,2,3
570,Cor,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,R11,11,R,4,4,3,3
587,Cor,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,K11,11,K,3,3,3,3
588,Cor,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,K11,11,K,5,3,3,3
589,Cor,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,K13,13,K,4,3,3,3
590,Cor,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,M11,11,M,4,3,3,3
591,Cor,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,J12,12,J,4,3,3,3
592,Cor,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,Q3,3,Q,2,3,3,3
593,Cor,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,I11,11,I,3,3,3,3
594,Cor,Rav1,La Valse (RAVEL) - Configuration 1,H12,12,H,3,3,3,3
595,Cor,Rav2,La Valse (RAVEL) - Configuration 2,E14,14,E,3,3,3,3
