id,instrument,code,name,position,row,violin_1,violin_2,alto,cello,bass,flute,oboe,clarinet,bassoon,horn,trumpet,trombone,tuba,percussion,harp,piano,column
961,Flûte,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,L13,13,2,2,2,2,2,4,3,5,2,4,5,5,5,3,3,3,L
962,Flûte,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,L13,13,3,3,3,3,3,3,3,5,2,4,4,4,4,4,4,4,L
963,Flûte,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,L13,13,3,3,2,3,3,3,3,4,2,3,3,3,3,3,3,3,L
964,Flûte,Moz1,Symphonie n°41 (MOZART) - Configuration 1,L13,13,1,3,2,5,3,3,3,0,4,3,4,0,0,3,0,0,L
965,Flûte,Moz2,Symphonie n°41 (MOZART) - Configuration 2,L13,13,1,3,3,3,2,3,3,0,3,3,5,0,0,3,0,0,L
966,Flûte,Moz3,Symphonie n°41 (MOZART) - Configuration 3,L13,13,2,3,3,4,4,3,3,0,4,3,4,0,0,5,0,0,L
967,Flûte,Moz4,Symphonie n°41 (MOZART) - Configuration 4,L14,14,3,3,4,4,4,3,3,0,4,3,5,0,0,5,0,0,L
968,Flûte,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,L13,13,2,2,2,3,2,3,3,3,3,3,3,0,0,3,0,0,L
969,Flûte,Bee2,Symphonie N°7 (BEETHOVEN) - Configuration 2,L14,14,3,3,3,4,4,3,3,3,3,3,3,0,0,3,0,0,L
970,Flûte,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,L14,14,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,L
971,Flûte,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,L14,14,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,L
984,Flûte,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,L13,13,2,3,2,3,3,3,3,3,3,3,3,3,3,3,2,0,L
985,Flûte,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,L13,13,2,2,2,3,3,3,3,3,3,3,4,3,3,3,3,0,L
986,Flûte,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,L13,13,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,L
987,Flûte,Rav1,La Valse (RAVEL) - Configuration 1,L11,11,2,2,2,2,2,3,2,3,2,4,4,4,4,4,4,0,L
988,Flûte,Rav2,La Valse (RAVEL) - Configuration 2,L13,13,2,3,3,4,2,3,3,2,3,2,4,4,4,3,4,0,L
989,Flûte,Str1,Symphonie alpestre (STRAUSS) - Configuration 1,L11,11,2,2,2,2,2,1,1,1,1,5,5,5,5,5,2,2,L
990,Flûte,Str2,Symphonie alpestre (STRAUSS) - Configuration 2,L11,11,2,2,2,2,2,2,2,2,1,5,5,4,4,3,3,3,L
991,Flûte,Str3,Symphonie alpestre (STRAUSS) - Configuration 3,L11,11,2,2,2,2,2,2,2,2,2,5,5,5,5,5,2,2,L
1000,Contrebasse,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,P12,12,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,P
1001,Contrebasse,Bee2,Symphonie N°7 (BEETHOVEN) - Configuration 2,F11,11,4,3,3,3,2,3,3,3,3,3,3,0,0,3,0,0,F
1002,Contrebasse,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,K7,7,3,3,3,3,2,4,4,4,4,4,4,0,0,4,0,0,K
1003,Contrebasse,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,K7,7,3,3,3,3,2,3,3,3,3,3,3,0,0,3,0,0,K
1004,Contrebasse,Sch1,Symphonie n°3 (SCHUMANN) - Configuration 1,I8,8,3,3,2,2,2,3,3,3,3,3,3,0,0,3,0,0,I
1005,Contrebasse,Sch2,Symphonie n°3 (SCHUMANN) - Configuration 2,P15,15,3,3,3,2,3,3,3,3,3,4,4,0,0,4,0,0,P
1006,Contrebasse,Sch3,Symphonie n°3 (SCHUMANN) - Configuration 3,M6,6,3,3,3,3,2,2,2,2,2,4,4,0,0,4,0,0,M
1007,Contrebasse,Sch4,Symphonie n°3 (SCHUMANN) - Configuration 4,O5,5,3,3,3,3,3,3,3,3,3,3,3,0,0,3,0,0,O
1008,Contrebasse,Bra1,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 1,P10,10,3,3,3,3,3,3,3,3,3,3,3,4,4,3,0,0,P
1009,Contrebasse,Bra2,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 2,G15,15,3,3,2,3,3,3,3,3,3,4,4,3,2,3,0,0,G
1010,Contrebasse,Bra3,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 3,M6,6,3,3,3,2,2,3,3,3,3,3,3,3,3,4,0,0,M
1011,Contrebasse,Bra4,Symphonie n°2 en Ré Majeur Op 73 (BRAHMS) - Configuration 4,N9,9,3,3,3,2,3,3,3,3,3,3,4,4,3,4,0,0,N
1012,Contrebasse,Bru1,Symphonie n°7 (BRUCKNER) - Configuration 1,O9,9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,O
1013,Contrebasse,Bru2,Symphonie n°7 (BRUCKNER) - Configuration 2,O6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,O
1014,Contrebasse,Bru3,Symphonie n°7 (BRUCKNER) - Configuration 3,M6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,M
1015,Contrebasse,Bru4,Symphonie n°7 (BRUCKNER) - Configuration 4,F10,10,2,2,2,2,2,2,2,2,2,4,4,4,4,3,0,0,F
1016,Contrebasse,Mah1,Symphonie n°5 (MAHLER) - Configuration 1,H6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,H
1017,Contrebasse,Mah2,Symphonie n°5 (MAHLER) - Configuration 2,F15,15,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,0,F
1018,Contrebasse,Mah3,Symphonie n°5 (MAHLER) - Configuration 3,N8,8,3,3,3,3,3,3,3,3,3,3,4,4,4,4,0,0,N
