id,instrument,code,name,violin_1,violin_2,alto,cello,bass,flute,oboe,clarinet,bassoon,horn,trumpet,trombone,tuba,percusssion,harp,piano,column,row
511,Cor,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,4,4,1,2,2,2,2,2,2,2,3,0,0,3,0,0,B,1
512,Cor,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,4,4,2,2,2,3,3,2,2,3,3,0,0,3,0,0,G,2
513,Cor,Bee1,Symphonie N°7 (BEETHOVEN) - Configuration 1,3,3,3,3,3,2,2,2,3,3,3,0,0,3,0,0,O,3
514,Cor,Bee2,Symphonie N°7 (BEETHOVEN) - Configuration 2,3,3,3,2,2,3,3,2,2,2,3,0,0,3,0,0,M,3
515,Cor,Bee2,Symphonie N°7 (BEETHOVEN) - Configuration 2,3,3,2,3,3,3,3,2,3,2,3,0,0,4,0,0,G,2
516,Cor,Bee2,Symphonie N°7 (BEETHOVEN) - Configuration 2,4,4,2,3,3,2,2,2,2,3,3,0,0,3,0,0,B,1
517,Cor,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,5,5,3,3,2,2,2,1,2,2,2,0,0,2,0,0,B,1
518,Cor,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,3,3,3,3,2,3,2,3,3,3,3,0,0,3,0,0,G,2
519,Cor,Bee3,Symphonie N°7 (BEETHOVEN) - Configuration 3,3,3,2,2,3,3,3,3,3,4,2,0,0,2,0,0,J,2
520,Cor,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,3,3,2,3,3,3,3,3,2,3,3,0,0,4,0,0,N,3
521,Cor,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,4,4,3,3,3,3,3,2,2,3,3,0,0,3,0,0,G,2
522,Cor,Bee4,Symphonie N°7 (BEETHOVEN) - Configuration 4,4,4,2,3,2,3,2,3,3,2,3,0,0,3,0,0,B,1
523,Cor,Sch1,Symphonie n°3 (SCHUMANN) - Configuration 1,4,2,2,3,3,2,2,2,2,2,3,0,0,3,0,0,G,2
524,Cor,Sch2,Symphonie n°3 (SCHUMANN) - Configuration 2,3,3,2,3,3,3,2,2,2,3,3,0,0,3,0,0,G,2
525,Cor,Sch3,Symphonie n°3 (SCHUMANN) - Configuration 3,4,3,2,2,3,2,2,2,2,2,3,0,0,3,0,0,G,2
526,Cor,Sch4,Symphonie n°3 (SCHUMANN) - Configuration 4,4,4,2,3,3,2,2,2,2,3,3,0,0,3,0,0,G,2
538,Cor,Rav1,La Valse (RAVEL) - Configuration 1,2,2,3,3,3,2,3,2,2,2,3,3,3,4,2,0,M,3
