"","id","instrument","code","name","position","row","violin_1","violin_2","alto","cello","bass","flute","oboe","clarinet","bassoon","horn","trumpet","trombone","tuba","percussion","harp","piano","column"
"1",28,"Piano","Str1","Symphonie alpestre (STRAUSS) - Configuration 1","G17",17,3,3,2,2,2,1,1,1,1,5,2,2,2,2,3,3,"G"
"2",29,"Piano","Str2","Symphonie alpestre (STRAUSS) - Configuration 2","E16",16,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,"E"
"3",30,"Piano","Str3","Symphonie alpestre (STRAUSS) - Configuration 3","F11",11,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"F"
"4",55,"Harpe","Mah1","Symphonie n°5 (MAHLER) - Configuration 1","I12",12,5,5,1,1,5,2,1,3,2,5,3,3,3,3,3,0,"I"
"5",56,"Harpe","Mah2","Symphonie n°5 (MAHLER) - Configuration 2","I13",13,1,1,1,4,5,1,1,3,2,5,3,3,3,3,3,0,"I"
"6",58,"Harpe","Rav1","La Valse (RAVEL) - Configuration 1","J9",9,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,"J"
